opportunity_id,opp_owner_user_id,opp_owner_geo,segment,opportunity_type,close_date,opportunity_value,product_family_count,rep_name,year,quarter,month
0061Y00000QA0qXfZK,0054z00000AAVA1E0V,AMER,Enterprise,New Business,2020-12-17,120170.91,2,Alice Chen,2020,4,12
0061Y00000QA0rIrID,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2020-07-30,54638.76,2,Bob Smith,2020,3,7
0061Y00000QA0rHrHR,0051Y00000QARBei3T,EMEA,Corporate,Upsell,2020-03-20,4258.3,4,Unknown Rep,2020,1,3
0061Y00000QA0pO1JF,0054z00000AAVA1E1Q,EMEA,Corporate,Upsell,2019-12-11,4363.94,1,Unknown Rep,2019,4,12
0061Y00000QA2slLHN,0054z00000AAVA1UwE,EMEA,Enterprise,Upsell,2020-10-27,211990.14,1,Unknown Rep,2020,4,10
0061Y00000QA2snQPV,0054z00000AAFA1Iw8,EMEA,Enterprise,Upsell,2021-01-15,118761.98,2,Unknown Rep,2021,1,1
0061Y00000QA2opNZM,0054z00000AAVA1UwD,AMER,Enterprise,Upsell,2019-06-26,24140.02,4,George Bluth,2019,2,6
0061Y00000QA2s2RLR,0054z00000AABA18jp,APAC,Enterprise,Upsell,2020-06-23,88329.22,4,Hannah Abbott,2020,2,6
0061Y00000QA2ttYAP,0054z00000AAVA1E1U,EMEA,Corporate,Upsell,2020-12-20,23174.4,1,Unknown Rep,2020,4,12
0061Y00000QA2rzFLT,0054z00000AA29aDWI,EMEA,Corporate,Upsell,2020-06-24,22247.42,1,Unknown Rep,2020,2,6
0061Y00000QA0qUuSJ,0054z00000AAVA1E0X,AMER,Corporate,New Business,2020-03-27,41929.76,4,Unknown Rep,2020,1,3
0061Y00000QA0rImNX,0054z00000AAU9yY6Y,EMEA,Corporate,Upsell,2020-10-18,29002.08,2,Unknown Rep,2020,4,10
0061Y00000QA2noDPT,0054z00000AAU9yY6Y,EMEA,Corporate,Upsell,2019-04-08,31789.83,3,Unknown Rep,2019,2,4
0061Y00000QA0pP2TO,0054z00000AAFA1E0i,EMEA,Corporate,Upsell,2019-11-15,357.84,1,Edward Nygma,2019,4,11
0061Y00000QA0pO5RO,0054z00000AAS9Iy8C,AMER,Enterprise,New Business,2020-01-30,2886.58,1,Unknown Rep,2020,1,1
0061Y00000QA2noOMM,0051Y00000QAVBgScR,AMER,Corporate,New Business,2019-05-15,3910.68,3,Charlie Day,2019,2,5
0061Y00000QA2shBIZ,0054z00000AADAKaw6,APAC,Corporate,Upsell,2020-08-19,18873.51,2,Unknown Rep,2020,3,8
0061Y00000QA0rF4WP,0054z00000AAFA1E1h,EMEA,Corporate,Upsell,2020-02-06,13688.24,4,Unknown Rep,2020,1,2
0061Y00000QA0rEzCK,0054z00000AAFA1E0o,AMER,Enterprise,Upsell,2020-02-10,11950.42,3,Unknown Rep,2020,1,2
0061Y00000QA2nnZMK,0054z00000AAS9Iy8C,AMER,Enterprise,Upsell,2019-03-25,44205.85,4,Unknown Rep,2019,1,3
0061Y00000QA0pP9QQ,0054z00000AABA18jp,APAC,Enterprise,Upsell,2020-01-23,289482.34,1,Hannah Abbott,2020,1,1
0061Y00000QA2snFRH,0054z00000AAFA1Iw8,EMEA,Enterprise,Upsell,2020-11-15,42890.4,5,Unknown Rep,2020,4,11
0061Y00000QA2mcJXN,0054z00000AADAKaw6,APAC,Corporate,New Business,2019-06-30,18744.0,4,Unknown Rep,2019,2,6
0061Y00000QA0rH4FC,0054z00000AAVA1E0V,AMER,Enterprise,Upsell,2020-03-16,26721.45,4,Alice Chen,2020,1,3
0061Y00000QA0nVfKB,0054z00000AAFA1E0i,EMEA,Corporate,Upsell,2019-06-04,14027.33,2,Edward Nygma,2019,2,6
0061Y00000QA0rI2NE,0054z00000AAFA1E0d,EMEA,Corporate,New Business,2020-07-09,21470.4,3,Unknown Rep,2020,3,7
0061Y00000QA2twIHT,0054z00000AAQ9zzrE,APAC,Corporate,Upsell,2021-02-15,10632.96,4,Unknown Rep,2021,1,2
0061Y00000QA2s1SGG,0054z00000AAU9yY6Y,EMEA,Corporate,Upsell,2020-11-20,40896.0,2,Unknown Rep,2020,4,11
0061Y00000QA2upTLV,0054z00000AAFA1E0n,APAC,Corporate,New Business,2021-04-16,46519.2,4,Unknown Rep,2021,2,4
0061Y00000QA2shOKK,0054z00000AAA998l9,EMEA,Enterprise,Upsell,2020-09-23,106366.2,4,Unknown Rep,2020,3,9
0061Y00000QA2s0HYB,0054z00000AAFA1E0i,EMEA,Corporate,Upsell,2020-07-29,30672.0,1,Edward Nygma,2020,3,7
0061Y00000QA2nnWFV,0054z00000AAFA1E0i,EMEA,Corporate,Upsell,2019-03-20,3958.39,1,Edward Nygma,2019,1,3
0061Y00000QA2tvPTN,0054z00000AAFA1E0p,AMER,Enterprise,Upsell,2021-01-19,15059.68,3,Bob Smith,2021,1,1
0061Y00000QA2tvUHF,0054z00000AAVA1UwF,APAC,Corporate,New Business,2021-01-28,22428.9,1,Unknown Rep,2021,1,1
0061Y00000QA0rIvOD,0054z00000AAVA1E0S,AMER,Enterprise,New Business,2020-09-08,69772.67,3,Ian Wright,2020,3,9
0061Y00000QA0pO1FD,0054z00000AAE97J5t,APAC,Enterprise,New Business,2020-08-13,138744.65,2,Unknown Rep,2020,3,8
0061Y00000QA2opAIO,0054z00000AAFA1E0f,EMEA,Corporate,Upsell,2019-06-24,9201.6,4,Unknown Rep,2019,2,6
